dataset,algorithm,params,reordered,binary,accuracy,cramers_v,chi2p,pearson,iva,dt_accuracy_original,dt_accuracy_sampled
adult,vae,[20-2],0,1,0.618369624,0.00017738,0.754130838,0.989732696,0.914951304,0.883617381,0.69567888
adult,vae,[40-40-2],0,1,0.623594689,0.002400059,0.600348058,0.986814584,0.910531462,0.888223553,0.757102055
adult,vae,[60-2],0,1,0.634034581,0.00213166,0.659404324,0.987586346,0.928106992,0.890526639,0.5881269
adult,vae,[40-2],1,0,0.490877635,0.001248001,0.706769867,0.988752072,0.86978831,0.808843851,0.759190443
adult,vae,[40-40-2],1,0,0.487040734,0.001479851,0.772813653,0.991850839,0.883270218,0.811607554,0.759190443
adult,vae,[40-40-2],1,1,0.638631082,0.001871954,0.660956147,0.986687675,0.937220645,0.88868417,0.772642118
adult,rbm,[256],0,0,0.374355824,0.003487954,0.526447512,0.997557899,0.9076728,0.817134961,0.674180768
adult,rbm,[128],0,0,0.376300892,0.005678418,0.432006467,0.9975297,0.908458523,0.812528789,0.710696846
adult,rbm,[64],0,0,0.366706592,0.002194496,0.603994381,0.997560995,0.906662546,0.821741133,0.662940327
adult,rbm,[128],0,0,0.36119898,0.003849853,0.528208001,0.997588485,0.907433649,0.809304468,0.591658733
adult,rbm,[128],0,0,0.367832683,0.003919773,0.529635736,0.997593388,0.90835279,0.810072163,0.655108873
adult,rbm,[32],0,0,0.354729073,0.004131207,0.606306919,0.997627623,0.907602204,0.811607554,0.605632505
adult,rbm,[128],1,0,0.371170009,0.002350232,0.577528439,0.997583651,0.909898609,0.810072163,0.600442247
